"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
796,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
801,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
802,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
809,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
817,0,0,0,0,0,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1
830,21,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
831,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
837,21,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
856,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
864,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
865,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
881,0,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
882,0,36,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
886,0,37,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
888,0,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
889,0,37,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
891,0,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
900,0,17,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1006,0,38,21,12,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1
1015,0,38,21,12,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1
1022,19,13,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1023,19,13,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1027,0,0,0,0,0,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1
1034,46,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1035,46,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1039,0,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1041,0,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1042,42,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1053,0,24,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1058,47,24,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1060,47,24,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1072,0,0,0,0,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1
1075,48,39,9,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1079,0,25,15,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1080,20,23,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1108,0,25,15,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1111,48,39,9,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1123,0,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1124,49,40,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1131,0,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1133,50,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1136,50,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1154,49,40,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1160,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1168,0,14,9,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1169,51,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1170,51,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1172,0,14,9,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,9,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2034,23,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2035,23,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2037,23,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2038,11,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2039,11,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2040,11,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2042,11,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2043,52,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2044,52,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050,0,41,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2051,0,41,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2053,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2062,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2066,2,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2073,0,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2074,0,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2088,20,23,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2095,0,42,23,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2096,0,42,23,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2099,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2107,0,25,15,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2116,25,14,9,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2156,0,28,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2161,0,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2164,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2167,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1
2185,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2190,0,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3033,0,26,16,9,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3037,53,26,16,9,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3045,53,26,16,9,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3051,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3057,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3063,0,0,0,0,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3074,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1
3087,0,0,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3089,0,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3096,12,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3099,0,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3103,0,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3110,0,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3111,0,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3119,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3137,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3154,44,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3155,0,0,0,0,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3160,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1
4004,12,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4017,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4019,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4072,54,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4073,54,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4074,12,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4075,0,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4077,12,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4079,0,5,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4083,0,22,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4087,0,43,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4092,55,22,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
