"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
553,28,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
554,28,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
556,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
558,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
560,43,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
578,0,11,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
585,0,11,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
586,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
589,0,0,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
611,48,16,14,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
619,48,16,14,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
626,49,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,49,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
636,0,29,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
659,0,29,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
669,50,30,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
671,50,30,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
672,51,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
673,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,51,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
676,52,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
677,52,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
682,29,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
695,53,31,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
697,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
702,54,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
712,55,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
715,55,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
717,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
719,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
724,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
725,0,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
730,0,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
731,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
732,0,0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
743,56,32,25,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
750,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
751,57,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
755,57,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
757,0,33,26,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
764,0,9,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
777,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
783,58,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
785,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
786,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
787,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
789,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
791,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
793,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
795,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
796,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
797,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
800,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
801,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
806,59,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807,59,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
809,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
817,0,0,0,0,0,7,5,3,1,1,1,1,1,1,1,1,1,1,1,1
830,58,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
831,60,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
833,60,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
855,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
856,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
857,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
864,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
865,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
881,0,0,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
882,0,0,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
888,0,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
889,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
891,0,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
900,26,11,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
901,26,11,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
904,26,11,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1004,0,0,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1006,0,0,0,9,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1020,0,0,27,9,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1021,0,0,27,9,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1022,29,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1023,29,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1027,0,0,0,0,0,7,5,3,1,1,1,1,1,1,1,1,1,1,1,1
1031,54,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1034,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1035,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1036,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1041,0,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1042,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1056,30,17,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1058,30,17,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1060,30,17,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1072,0,0,0,0,0,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1075,61,18,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1079,0,13,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1096,14,9,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
