"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
750,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
751,43,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
755,43,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
758,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
777,0,28,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
783,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
784,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
786,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
789,8,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
791,8,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
793,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
794,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
795,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
796,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
797,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
801,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
804,44,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805,44,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
831,23,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
832,23,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
833,23,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
847,0,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
849,24,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
855,8,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
856,8,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
857,8,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
865,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
867,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
882,0,29,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
886,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
888,10,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
891,10,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
900,37,30,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
904,37,30,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1004,0,0,13,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1006,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
1022,20,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1023,20,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1027,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1031,21,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1033,21,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1034,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1036,12,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1040,42,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1042,12,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1046,0,35,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1053,0,17,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1058,45,17,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1060,45,17,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1079,0,11,11,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1096,25,18,16,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1098,25,18,16,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1099,25,18,16,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1108,46,11,11,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1111,0,0,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1123,0,0,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1139,0,0,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1160,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
1168,47,36,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1169,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,11,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019,0,37,29,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
