"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMLA";Nb_runs_ROMLB
483;149750;443370;"Wijk bij Duurstede";"Wijkersloot II";"rural settlement";10;1000;1000
485;146300;438650;"Beusichem";"Hooge Voorkoop I";"rural settlement";10;1000;1000
488;141270;450450;"Houten";"De Geer";"rural settlement";10;1000;1000
491;143012;450325;"Odijk";"'t Vagevuur";"rural settlement";10;1000;1000
493;144025;451380;"Odijk";"De Vork I";"rural settlement";10;1000;1000
496;141950;452030;"Bunnik";"Groeneweg / Achterdijk";"rural settlement";10;1000;1000
497;142227;451865;"Bunnik";"Rijsbruggerwetering";"rural settlement";10;1000;1000
498;141661;451748;"Bunnik";"Groeneweg";"rural settlement";10;1000;1000
506;136340;451270;"Nieuwegein";"Het Veld";"rural settlement";10;998;1000
507;137820;451390;"Houten";"Wayense Dijk";"rural settlement";10;1000;1000
509;137410;450330;"Houten";"Langeweg";"rural settlement; road?";10;861;999
511;136920;449900;"Laagraven";"Heemsteedse Weg";"rural settlement";10;994;1000
512;138200;450500;"Houten";"Doornkade";"rural settlement";10;1000;1000
513;139100;450300;"Houten";"Oud Wulfseweg";"rural settlement; stone-built?";10;1000;1000
514;136570;449700;"Laagraven";"Heemstederbrug";"rural settlement";10;1000;1000
515;139550;448070;"Houten";"Houtense Wetering terrein 24";"rural settlement";10;1000;1000
517;141560;448300;"Houten";"Overdam terrein 8A";"rural settlement; burial(s)";10;1000;1000
519;149950;430750;"Meteren";"Hondsgemet";"rural settlement";10;1000;1000
543;146900;431050;"Meteren";"Boog D-Noord";"rural settlement";10;800;996
548;154580;441080;"Maurik";"De Woerd";"rural settlement";10;1000;1000
550;155540;440750;"Maurik";"De Park";"rural settlement";10;1000;1000
552;158310;442590;"Eck en Wiel";"Oude Hofstede";"rural settlement";10;854;1000
553;158715;442185;"Maurik";"Buitenweg";"rural settlement?; burial(s)";10;1000;1000
554;158800;442500;"Eck en Wiel";"De Mente I";"rural settlement";10;1000;1000
556;159850;442580;"Eck en Wiel";"De Kniphoek";"rural settlement";10;1000;1000
558;158210;439760;"Maurik";"'t Haagje";"rural settlement";10;986;1000
560;158900;438050;"Zoelen";"De Beldert";"rural settlement";10;1000;1000
578;144500;421400;"Bruchem";"De Burge";"rural settlement";10;1000;1000
585;146250;422150;"Bruchem";"De Veluwe";"rural settlement";10;1000;1000
586;169300;438100;"Kesteren";"Bergzicht";"rural settlement";10;1000;1000
589;174710;438250;"Opheusden";"De Roetert";"rural settlement";10;1000;1000
611;170410;433780;"Druten";"Brouwerstraat";"rural settlement";10;995;1000
619;170400;432850;"Druten";"Klepperhei";"rural settlement, stone-built";10;1000;1000
626;179450;430500;"Ewijk";"Koningsstraat I";"rural settlement";10;1000;1000
628;179380;429880;"Beuningen";"Ooigraaf";"rural settlement";10;1000;1000
636;174850;425550;"Leur";"Fleerde";"rural settlement";10;781;993
659;175600;427300;"Hernen";"De Loffert II";"rural settlement";10;841;996
669;180730;439850;"Heteren";"Het Lage Land I";"rural settlement";10;1000;1000
671;181730;439750;"Heteren";"Uilenburg";"rural settlement";10;1000;1000
672;185540;439140;"Elst";"Distelheuvel";"rural settlement";10;1000;1000
673;187330;438020;"Elst";"Groenoord";"rural settlement";10;1000;1000
674;185750;438400;"Raayen";"De Woerd";"rural settlement, stone-built?; burial(s)?";10;1000;1000
676;185300;441300;"Driel";"Baarskamp";"rural settlement";10;1000;1000
677;184700;441800;"Driel";"Ooijevaarsnest";"rural settlement; burial(s)?";10;995;1000
682;186450;439850;"Driel";"De Laar I";"rural settlement";10;1000;1000
695;191600;439500;"Huissen";"Loostraat I";"rural settlement";10;1000;1000
697;189450;435800;"Bredelaar";"Imkershof";"rural settlement";10;1000;1000
702;185730;434550;"Elst";"Reethsestraat";"rural settlement";10;1000;1000
712;188280;436550;"Elst";"Aam";"rural settlement";10;942;999
715;187500;436900;"Elst";"Hoge Hof";"rural settlement; burial(s)";10;1000;1000
717;187950;434900;"Elst";"Merm";"rural settlement; burial(s)";10;1000;1000
719;186925;432680;"Oosterhout";"Griftdijk I";"rural settlement; burial(s)";10;1000;1000
724;186500;436200;"Elst";"Brienenshof";"rural settlement; burial(s)";10;1000;1000
725;180000;431350;"Ewijk";"De Grote Aalst";"rural settlement, stone-built; burial(s); military settlement?";10;1000;1000
729;180550;429850;"Beuningen";"De Heuve";"rural settlement";10;994;1000
730;182400;429800;"Beuningen";"Reekstraat";"rural settlement, stone-built";10;986;999
731;187950;430470;"Lent";"Dorpsplein";"rural settlement, stone-built?";10;1000;1000
732;181160;425780;"Wijchen";"Teersdijk";"rural settlement";10;954;1000
743;195500;435000;"Boerenhoek";"Het Meer";"rural settlement";10;1000;1000
750;190450;434200;"Bemmel";"Het Hoog";"rural settlement";10;994;1000
751;191650;436550;"Bergerden";"Het Plaat";"rural settlement";10;1000;1000
755;190900;436820;"Bergerden";"Kleine Morgen";"rural settlement";10;1000;1000
757;191850;428150;"Persingen";"Dorp I";"rural settlement; burial(s)";10;1000;1000
764;200420;430690;"Millingen";"Kerk I";"rural settlement; cult site?";10;1000;1000
777;163250;432500;"Beneden-Leeuwen";"De Ret";"rural settlement, stone-built";10;1000;1000
779;132920;455100;"De Meern";"Stadsdam";"rural settlement; road";10;1000;1000
783;132300;455900;"Utrecht";"Prinses Amaliapark";"rural settlement";10;1000;1000
785;129922;454638;"De Meern";"De Balije / Veldhuizen";"rural settlement; road; 2 watchtowers; shipwreck(s)";10;1000;1000
786;131380;454100;"De Meern";"Oudenrijnseweg";"rural settlement";10;1000;1000
787;132040;454740;"De Meern";"Oudenrijn";"rural settlement; road";10;1000;1000
789;130740;452150;"Nieuwegein";"Ringkade I";"rural settlement";10;941;997
791;130100;451250;"IJsselstein";"Noord-IJsseldijk I";"rural settlement";10;991;1000
793;132100;451660;"Nieuwegein";"Ringkade III";"rural settlement";10;1000;1000
795;131850;451250;"Nieuwegein";"Vredestein";"rural settlement; burial(s)?";10;1000;1000
796;131900;450900;"Nieuwegein";"Nedereindseweg II";"rural settlement";10;996;1000
797;132050;450650;"Nieuwegein";"Nedereindseweg III";"rural settlement";10;893;999
800;133800;450800;"Nieuwegein";"Weiland";"rural settlement";10;987;1000
801;134800;451250;"Nieuwegein";"Blokhoeve";"rural settlement";10;1000;1000
805;134280;449880;"Jutphaas";"Kerkveld";"rural settlement";10;1000;1000
806;132800;449700;"Nieuwegein";"Rijksweg";"rural settlement";10;346;871
807;133050;449150;"Jutphaas";"Batau-zuid I";"rural settlement";10;1000;1000
809;132600;446800;"IJsselstein";"Lage Dijk I";"rural settlement; burial(s)";10;1000;1000
817;132500;432100;"Oosterwijk";"Lingedijk";"rural settlement";10;1000;1000
830;131950;456350;"De Meern";"'t Zand II";"rural settlement; watchtower";10;1000;1000
831;127170;456770;"Harmelen";"Dorpeldijk";"rural settlement";10;1000;1000
833;127920;457110;"Vleuten";"'t Hoog";"rural settlement";10;717;963
855;129700;452650;"Nieuwegein";"Steenen Kamer";"rural settlement";10;826;991
856;129650;452200;"IJsselstein";"Meernhoeve";"rural settlement";10;1000;1000
857;129950;451750;"IJsselstein";"Noord-IJsseldijk II";"rural settlement";10;480;910
864;131550;455150;"De Meern";"Hoge Woerd III";"rural settlement; road; burial(s)";10;1000;1000
865;150300;444150;"Cothen";"Trekweg";"rural settlement";10;1000;1000
1020;136550;415650;"Heesbeen";"Het Oude Maasje";"rural settlement, stone-built?";10;985;1000
1021;137220;417950;"Wijk en Aalburg";"De Eng";"rural settlement";10;0;0
1022;187180;439690;"Elden";"Heusdenstraat";"rural settlement";10;1000;1000
1023;186230;439880;"Driel";"De Laar II";"rural settlement";10;1000;1000
1027;127650;429300;"Gorinchem";"Haarweg";"rural settlement";10;1000;1000
1031;186200;433700;"Oosterhout";"De Grift";"rural settlement";10;570;918
1034;186795;432075;"Oosterhout";"Van Boetzelaerstraat";"rural settlement; burial(s)";10;1000;1000
1035;187640;431780;"Lent";"Rijksweg 52";"rural settlement";10;1000;1000
1036;188150;431660;"Lent";"Smitjesland";"rural settlement";10;422;822
1041;181500;430500;"Beuningen";"Molenstraat";"rural settlement, stone-built?";10;1000;1000
1042;188500;430800;"Lent";"Laauwikstraat-Zuid";"rural settlement";10;1000;1000
1056;182550;422050;"Overasselt";"Scheiwal";"rural settlement, stone-built; burial(s)";10;1000;1000
1058;182286;421785;"Overasselt";"Bullenkamp";"burial(s); rural settlement";10;1000;1000
1060;182700;421800;"Overasselt";"Valenberg";"rural settlement";10;1000;1000
1072;129460;414450;"Meeuwen";"Haagoord";"rural settlement";10;1000;1000
1075;191250;415700;"Middelaar";"Witteweg";"rural settlement, stone-built";10;1000;1000
1079;192150;419450;"Groesbeek";"Klein Amerika";"rural settlement; cult site?";10;1000;1000
1096;196950;427800;"Leuth";"Leuth-Zuid";"rural settlement";10;994;1000
1098;197400;428300;"Leuth";"Plezenburg";"rural settlement; road?";10;281;767
1099;197500;428700;"Leuth";"Puthorst";"rural settlement";10;275;779
1100;197900;429300;"Kekerdom";"Groote Both";"rural settlement";10;812;992
1102;198700;430400;"Kekerdom";"Kapittelhof";"rural settlement";10;926;1000
1108;193120;421030;"Groesbeek";"Het Vilje";"rural settlement; burial(s)";10;1000;1000
1111;190600;416100;"Katerbosch";"Elzenstraat";"rural settlement";10;1000;1000
1123;162000;441250;"Ingen";"De Poel";"rural settlement, stone-built?";10;1000;1000
1124;178000;424200;"Wijchen";"Tienakker";"rural settlement, stone-built; burial(s)";10;1000;1000
1131;163600;439600;"Lienden";"Meerten";"rural settlement";10;1000;1000
