"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMVA";"Nb_runs_ROMVB"
4126;78627;436197;"Vlaardingen";"Aalkeet-Binnenpolder";"rural settlement";10;700;997
4129;80870;436632;"Vlaardingen";"Aalkeet-Buitenpolder V";"rural settlement";10;89;517
4135;85920;443980;"Delft";"Lage Abtswoudse Polder I";"rural settlement";10;825;1000
4140;86660;443935;"Delft";"Rotterdamseweg";"rural settlement; road?";10;1000;1000
4143;78830;443670;"Schipluiden";"Oostbuurt I";"rural settlement";10;988;0
4144;79460;443370;"Schipluiden";"Oostbuurt II";"rural settlement";10;1000;1000
4145;112475;426128;"Sliedrecht";"Centrum";"rural settlement?";10;344;947
4146;111550;425430;"Sliedrecht";"Ronduitpolder";"rural settlement?";10;216;992
4147;110500;429650;"Wijngaarden";"Molengaard";"rural settlement";10;29;1000
4148;109900;429550;"Oud-Alblas";"Peilmolenweg";"rural settlement";10;341;957
4149;106650;429760;"Oud-Alblas";"Vinkepolder";"rural settlement; road?";10;123;750
4153;105320;429400;"Alblasserdam";"Kabelfabriek";"rural settlement";10;1000;1000
4154;107550;427400;"Papendrecht";"Zwembad";"rural settlement";10;30;735
4158;93572;428811;"Barendrecht";"Carnisselande";"rural settlement; waterworks";10;1000;1000
4159;87350;431275;"Poortugaal";"Zwaardijk";"rural settlement";10;611;975
